Title,Style,Size,OG,FG,ABV,IBU,Color
Bell's Two Hearted Ale Clone,American IPA,6 Gallons,1.07,1.016,6.99,68.13,6.96 °L
Wake N Bake - Double Espresso Imperial Oatmeal Stout,American Stout,5.3 Gallons,1.076,1.021,7.61,67.28,39.37 °L
Timothy Taylor Landlord Clone,Standard/Ordinary Bitter,23 Litres,1.051,1.015,4.74,44.3,7.02 °L
They Stole Our Fleg - Irish Red,Irish Red Ale,21 Litres,1.046,1.008,4.98,26.17,9.67 °L
Coffee Porter,Robust Porter,5.5 Gallons,1.065,1.017,6.24,92.77,50 °L
La Chouffe Clone,Belgian Golden Strong Ale,5.5 Gallons,1.071,1.008,8.31,28.75,4.57 °L
Westmalle Tripel Clone,Belgian Tripel,6 Gallons,1.079,1.008,9.37,38.1,3.55 °L
Passion Fruit & Mango Sour Ale,Mixed-Fermentation Sour Beer,6 Gallons,1.045,1.009,4.61,0,4.22 °L
Base Stout,Sweet Stout,30 Litres,1.06,1.017,5.74,12.07,46.03 °L
02 VOX POPULI PALE ALE,American Pale Ale,600 Litres,1.048,1.012,4.68,29.17,3.09 °L
Dogfish Head 90 Minute Clone,American IPA,6 Gallons,1.079,1.018,7.98,0,7.34 °L
Pineapple Hefeweizen,Weizen/Weissbier,5.5 Gallons,1.054,1.013,5.28,15.37,6.68 °L
Centennial IPA,American IPA,5.5 Gallons,1.066,1.018,6.19,65.24,10.22 °L
Hobgoblin Clone,Strong Bitter,5 Gallons,1.056,1.014,5.58,35.65,17.65 °L
Young's Double Chocolate Stout Clone,Sweet Stout,5 Gallons,1.054,1.019,4.55,29.89,30.4 °L
